,month,perc_dif,ticker
4,2020-12-28,3,EVRG
0,2020-08-26,4,EW
1,2020-09-25,2,EW
2,2020-10-26,3,EW
3,2020-11-25,4,EW
4,2020-12-28,4,EW
0,2020-08-26,3,EXC
1,2020-09-25,2,EXC
2,2020-10-26,4,EXC
3,2020-11-25,3,EXC
4,2020-12-28,3,EXC
0,2020-08-26,4,EXPD
1,2020-09-25,4,EXPD
2,2020-10-26,4,EXPD
3,2020-11-25,2,EXPD
4,2020-12-28,4,EXPD
0,2020-08-26,4,EXPE
1,2020-09-25,3,EXPE
2,2020-10-26,3,EXPE
3,2020-11-25,5,EXPE
4,2020-12-28,4,EXPE
0,2020-08-26,4,EXR
1,2020-09-25,3,EXR
2,2020-10-26,4,EXR
3,2020-11-25,2,EXR
4,2020-12-28,4,EXR
0,2020-08-26,3,F
1,2020-09-25,2,F
2,2020-10-26,5,F
3,2020-11-25,4,F
4,2020-12-28,2,F
0,2020-08-26,3,FANG
1,2020-09-25,1,FANG
2,2020-10-26,2,FANG
3,2020-11-25,5,FANG
4,2020-12-28,4,FANG
0,2020-08-26,4,FAST
1,2020-09-25,2,FAST
2,2020-10-26,3,FAST
3,2020-11-25,4,FAST
4,2020-12-28,3,FAST
0,2020-08-26,5,FB
1,2020-09-25,2,FB
2,2020-10-26,4,FB
3,2020-11-25,3,FB
4,2020-12-28,3,FB
0,2020-08-26,4,FBHS
1,2020-09-25,3,FBHS
2,2020-10-26,3,FBHS
3,2020-11-25,4,FBHS
4,2020-12-28,3,FBHS
0,2020-08-26,4,FCX
1,2020-09-25,3,FCX
2,2020-10-26,4,FCX
3,2020-11-25,5,FCX
4,2020-12-28,4,FCX
0,2020-08-26,5,FDX
1,2020-09-25,4,FDX
2,2020-10-26,4,FDX
3,2020-11-25,4,FDX
4,2020-12-28,2,FDX
0,2020-08-26,2,FE
1,2020-09-25,3,FE
2,2020-10-26,4,FE
3,2020-11-25,2,FE
4,2020-12-28,4,FE
0,2020-08-26,2,FFIV
1,2020-09-25,2,FFIV
2,2020-10-26,4,FFIV
3,2020-11-25,5,FFIV
4,2020-12-28,4,FFIV
0,2020-08-26,4,FIS
1,2020-09-25,3,FIS
2,2020-10-26,2,FIS
3,2020-11-25,4,FIS
4,2020-12-28,2,FIS
0,2020-08-26,2,FISV
1,2020-09-25,4,FISV
2,2020-10-26,2,FISV
3,2020-11-25,4,FISV
4,2020-12-28,3,FISV
0,2020-08-26,4,FITB
1,2020-09-25,3,FITB
2,2020-10-26,4,FITB
3,2020-11-25,4,FITB
4,2020-12-28,4,FITB
0,2020-08-26,2,FLIR
1,2020-09-25,3,FLIR
2,2020-10-26,3,FLIR
3,2020-11-25,4,FLIR
4,2020-12-28,4,FLIR
0,2020-08-26,2,FLS
1,2020-09-25,2,FLS
2,2020-10-26,4,FLS
3,2020-11-25,4,FLS
4,2020-12-28,4,FLS
0,2020-08-26,2,FLT
1,2020-09-25,2,FLT
2,2020-10-26,3,FLT
3,2020-11-25,4,FLT
4,2020-12-28,3,FLT
0,2020-08-26,3,FMC
1,2020-09-25,2,FMC
2,2020-10-26,3,FMC
3,2020-11-25,4,FMC
4,2020-12-28,3,FMC
0,2020-08-26,4,FOX
1,2020-09-25,3,FOX
2,2020-10-26,3,FOX
3,2020-11-25,4,FOX
4,2020-12-28,3,FOX
0,2020-08-26,4,FOXA
1,2020-09-25,3,FOXA
2,2020-10-26,3,FOXA
3,2020-11-25,4,FOXA
4,2020-12-28,3,FOXA
0,2020-08-26,3,FRC
1,2020-09-25,2,FRC
2,2020-10-26,4,FRC
3,2020-11-25,4,FRC
4,2020-12-28,4,FRC
0,2020-08-26,4,FRT
1,2020-09-25,2,FRT
2,2020-10-26,2,FRT
3,2020-11-25,5,FRT
4,2020-12-28,2,FRT
0,2020-08-26,2,FTI
1,2020-09-25,2,FTI
2,2020-10-26,2,FTI
3,2020-11-25,5,FTI
4,2020-12-28,4,FTI
0,2020-08-26,3,FTNT
1,2020-09-25,2,FTNT
2,2020-10-26,4,FTNT
3,2020-11-25,3,FTNT
4,2020-12-28,5,FTNT
0,2020-08-26,3,FTV
1,2020-09-25,4,FTV
2,2020-10-26,3,FTV
3,2020-11-25,4,FTV
4,2020-12-28,3,FTV
0,2020-08-26,3,GD
1,2020-09-25,2,GD
2,2020-10-26,3,GD
3,2020-11-25,4,GD
4,2020-12-28,3,GD
0,2020-08-26,2,GE
1,2020-09-25,2,GE
2,2020-10-26,4,GE
3,2020-11-25,5,GE
4,2020-12-28,3,GE
0,2020-08-26,2,GILD
1,2020-09-25,2,GILD
2,2020-10-26,2,GILD
3,2020-11-25,3,GILD
4,2020-12-28,3,GILD
0,2020-08-26,3,GIS
1,2020-09-25,2,GIS
2,2020-10-26,4,GIS
3,2020-11-25,3,GIS
4,2020-12-28,3,GIS
0,2020-08-26,4,GL
1,2020-09-25,2,GL
2,2020-10-26,4,GL
3,2020-11-25,4,GL
4,2020-12-28,3,GL
0,2020-08-26,4,GLW
1,2020-09-25,2,GLW
2,2020-10-26,4,GLW
3,2020-11-25,4,GLW
4,2020-12-28,2,GLW
0,2020-08-26,4,GM
1,2020-09-25,3,GM
2,2020-10-26,5,GM
3,2020-11-25,5,GM
4,2020-12-28,2,GM
0,2020-08-26,4,GOOG
1,2020-09-25,2,GOOG
2,2020-10-26,4,GOOG
3,2020-11-25,4,GOOG
4,2020-12-28,3,GOOG
0,2020-08-26,4,GOOGL
1,2020-09-25,2,GOOGL
2,2020-10-26,4,GOOGL
3,2020-11-25,4,GOOGL
4,2020-12-28,3,GOOGL
0,2020-08-26,4,GPC
1,2020-09-25,3,GPC
2,2020-10-26,3,GPC
3,2020-11-25,4,GPC
4,2020-12-28,3,GPC
0,2020-08-26,3,GPN
1,2020-09-25,3,GPN
2,2020-10-26,2,GPN
3,2020-11-25,4,GPN
4,2020-12-28,4,GPN
0,2020-08-26,5,GPS
1,2020-09-25,2,GPS
2,2020-10-26,5,GPS
3,2020-11-25,4,GPS
4,2020-12-28,2,GPS
0,2020-08-26,4,GRMN
1,2020-09-25,2,GRMN
2,2020-10-26,4,GRMN
3,2020-11-25,4,GRMN
4,2020-12-28,4,GRMN
0,2020-08-26,3,GS
1,2020-09-25,2,GS
2,2020-10-26,3,GS
3,2020-11-25,4,GS
4,2020-12-28,4,GS
0,2020-08-26,4,GWW
1,2020-09-25,2,GWW
2,2020-10-26,3,GWW
3,2020-11-25,4,GWW
4,2020-12-28,3,GWW
0,2020-08-26,4,HAL
1,2020-09-25,1,HAL
2,2020-10-26,3,HAL
3,2020-11-25,5,HAL
4,2020-12-28,4,HAL
0,2020-08-26,4,HAS
1,2020-09-25,2,HAS
2,2020-10-26,4,HAS
3,2020-11-25,4,HAS
4,2020-12-28,3,HAS
0,2020-08-26,3,HBAN
1,2020-09-25,2,HBAN
2,2020-10-26,4,HBAN
3,2020-11-25,5,HBAN
4,2020-12-28,3,HBAN
0,2020-08-26,4,HBI
1,2020-09-25,3,HBI
2,2020-10-26,4,HBI
3,2020-11-25,2,HBI
4,2020-12-28,3,HBI
0,2020-08-26,4,HCA
1,2020-09-25,2,HCA
2,2020-10-26,4,HCA
3,2020-11-25,4,HCA
4,2020-12-28,4,HCA
0,2020-08-26,4,HD
1,2020-09-25,2,HD
2,2020-10-26,4,HD
3,2020-11-25,3,HD
4,2020-12-28,3,HD
0,2020-08-26,2,HES
1,2020-09-25,2,HES
2,2020-10-26,2,HES
3,2020-11-25,5,HES
4,2020-12-28,3,HES
0,2020-08-26,3,HFC
1,2020-09-25,1,HFC
2,2020-10-26,2,HFC
3,2020-11-25,5,HFC
4,2020-12-28,3,HFC
0,2020-08-26,3,HIG
1,2020-09-25,2,HIG
2,2020-10-26,4,HIG
3,2020-11-25,4,HIG
4,2020-12-28,4,HIG
0,2020-08-26,2,HII
1,2020-09-25,2,HII
2,2020-10-26,4,HII
3,2020-11-25,4,HII
4,2020-12-28,3,HII
0,2020-08-26,4,HLT
1,2020-09-25,3,HLT
2,2020-10-26,3,HLT
3,2020-11-25,4,HLT
4,2020-12-28,4,HLT
0,2020-08-26,4,HOLX
1,2020-09-25,3,HOLX
2,2020-10-26,4,HOLX
3,2020-11-25,3,HOLX
4,2020-12-28,4,HOLX
0,2020-08-26,4,HON
1,2020-09-25,3,HON
2,2020-10-26,4,HON
3,2020-11-25,5,HON
4,2020-12-28,3,HON
0,2020-08-26,3,HPE
1,2020-09-25,2,HPE
2,2020-10-26,2,HPE
3,2020-11-25,5,HPE
4,2020-12-28,4,HPE
0,2020-08-26,3,HPQ
1,2020-09-25,3,HPQ
2,2020-10-26,3,HPQ
3,2020-11-25,5,HPQ
4,2020-12-28,4,HPQ
0,2020-08-26,3,HRL
1,2020-09-25,2,HRL
2,2020-10-26,3,HRL
3,2020-11-25,2,HRL
4,2020-12-28,3,HRL
0,2020-08-26,3,HSIC
1,2020-09-25,2,HSIC
2,2020-10-26,4,HSIC
3,2020-11-25,2,HSIC
4,2020-12-28,4,HSIC
0,2020-08-26,4,HST
1,2020-09-25,2,HST
2,2020-10-26,3,HST
3,2020-11-25,5,HST
4,2020-12-28,3,HST
0,2020-08-26,3,HSY
1,2020-09-25,2,HSY
2,2020-10-26,3,HSY
3,2020-11-25,4,HSY
4,2020-12-28,3,HSY
0,2020-08-26,4,HUM
1,2020-09-25,3,HUM
2,2020-10-26,4,HUM
3,2020-11-25,2,HUM
4,2020-12-28,3,HUM
0,2020-08-26,4,HWM
1,2020-09-25,2,HWM
2,2020-10-26,4,HWM
3,2020-11-25,5,HWM
4,2020-12-28,4,HWM
0,2020-08-26,3,IBM
1,2020-09-25,2,IBM
2,2020-10-26,2,IBM
3,2020-11-25,4,IBM
4,2020-12-28,3,IBM
0,2020-08-26,4,ICE
1,2020-09-25,2,ICE
2,2020-10-26,3,ICE
3,2020-11-25,4,ICE
4,2020-12-28,4,ICE
0,2020-08-26,4,IDXX
1,2020-09-25,3,IDXX
2,2020-10-26,4,IDXX
3,2020-11-25,4,IDXX
4,2020-12-28,4,IDXX
0,2020-08-26,4,IEX
1,2020-09-25,3,IEX
2,2020-10-26,4,IEX
3,2020-11-25,3,IEX
4,2020-12-28,4,IEX
0,2020-08-26,2,IFF
1,2020-09-25,2,IFF
2,2020-10-26,2,IFF
3,2020-11-25,4,IFF
4,2020-12-28,3,IFF
0,2020-08-26,2,ILMN
1,2020-09-25,2,ILMN
2,2020-10-26,4,ILMN
3,2020-11-25,2,ILMN
4,2020-12-28,5,ILMN
0,2020-08-26,2,INCY
1,2020-09-25,2,INCY
2,2020-10-26,3,INCY
3,2020-11-25,2,INCY
4,2020-12-28,4,INCY
0,2020-08-26,3,INFO
1,2020-09-25,2,INFO
2,2020-10-26,4,INFO
3,2020-11-25,4,INFO
4,2020-12-28,3,INFO
0,2020-08-26,3,INTC
1,2020-09-25,3,INTC
2,2020-10-26,2,INTC
3,2020-11-25,3,INTC
4,2020-12-28,4,INTC
0,2020-08-26,4,INTU
1,2020-09-25,2,INTU
2,2020-10-26,4,INTU
3,2020-11-25,4,INTU
4,2020-12-28,4,INTU
0,2020-08-26,3,IP
1,2020-09-25,4,IP
2,2020-10-26,4,IP
3,2020-11-25,4,IP
4,2020-12-28,3,IP
0,2020-08-26,2,IPG
1,2020-09-25,2,IPG
2,2020-10-26,4,IPG
3,2020-11-25,5,IPG
4,2020-12-28,3,IPG
0,2020-08-26,2,IPGP
1,2020-09-25,4,IPGP
2,2020-10-26,5,IPGP
3,2020-11-25,4,IPGP
4,2020-12-28,4,IPGP
0,2020-08-26,3,IQV
1,2020-09-25,2,IQV
2,2020-10-26,4,IQV
3,2020-11-25,4,IQV
4,2020-12-28,4,IQV
0,2020-08-26,4,IR
1,2020-09-25,3,IR
2,2020-10-26,3,IR
3,2020-11-25,5,IR
4,2020-12-28,3,IR
0,2020-08-26,4,IRM
1,2020-09-25,2,IRM
2,2020-10-26,3,IRM
3,2020-11-25,3,IRM
4,2020-12-28,4,IRM
0,2020-08-26,3,ISRG
1,2020-09-25,2,ISRG
2,2020-10-26,4,ISRG
3,2020-11-25,3,ISRG
4,2020-12-28,4,ISRG
0,2020-08-26,4,IT
1,2020-09-25,2,IT
2,2020-10-26,3,IT
3,2020-11-25,5,IT
4,2020-12-28,4,IT
0,2020-08-26,4,ITW
1,2020-09-25,2,ITW
2,2020-10-26,4,ITW
3,2020-11-25,4,ITW
4,2020-12-28,3,ITW
0,2020-08-26,3,IVZ
1,2020-09-25,3,IVZ
2,2020-10-26,5,IVZ
3,2020-11-25,5,IVZ
4,2020-12-28,3,IVZ
0,2020-08-26,4,J
1,2020-09-25,3,J
2,2020-10-26,4,J
3,2020-11-25,4,J
4,2020-12-28,3,J
0,2020-08-26,4,JBHT
1,2020-09-25,2,JBHT
2,2020-10-26,3,JBHT
3,2020-11-25,4,JBHT
4,2020-12-28,3,JBHT
0,2020-08-26,4,JCI
1,2020-09-25,3,JCI
2,2020-10-26,4,JCI
3,2020-11-25,4,JCI
4,2020-12-28,3,JCI
0,2020-08-26,2,JKHY
1,2020-09-25,2,JKHY
2,2020-10-26,2,JKHY
3,2020-11-25,3,JKHY
4,2020-12-28,3,JKHY
0,2020-08-26,4,JNJ
1,2020-09-25,2,JNJ
2,2020-10-26,3,JNJ
3,2020-11-25,3,JNJ
4,2020-12-28,4,JNJ
0,2020-08-26,2,JNPR
1,2020-09-25,2,JNPR
2,2020-10-26,3,JNPR
3,2020-11-25,3,JNPR
4,2020-12-28,4,JNPR
0,2020-08-26,3,JPM
1,2020-09-25,2,JPM
2,2020-10-26,4,JPM
3,2020-11-25,5,JPM
4,2020-12-28,4,JPM
0,2020-08-26,3,K
1,2020-09-25,2,K
2,2020-10-26,3,K
3,2020-11-25,2,K
4,2020-12-28,3,K
0,2020-08-26,3,KEY
1,2020-09-25,2,KEY
2,2020-10-26,4,KEY
3,2020-11-25,5,KEY
4,2020-12-28,3,KEY
0,2020-08-26,3,KEYS
1,2020-09-25,3,KEYS
2,2020-10-26,4,KEYS
3,2020-11-25,4,KEYS
4,2020-12-28,4,KEYS
0,2020-08-26,3,KHC
1,2020-09-25,2,KHC
2,2020-10-26,4,KHC
3,2020-11-25,4,KHC
4,2020-12-28,4,KHC
0,2020-08-26,4,KIM
1,2020-09-25,3,KIM
2,2020-10-26,2,KIM
3,2020-11-25,5,KIM
4,2020-12-28,3,KIM
0,2020-08-26,4,KLAC
1,2020-09-25,2,KLAC
2,2020-10-26,4,KLAC
3,2020-11-25,5,KLAC
4,2020-12-28,4,KLAC
0,2020-08-26,4,KMB
1,2020-09-25,2,KMB
2,2020-10-26,2,KMB
3,2020-11-25,4,KMB
4,2020-12-28,2,KMB
0,2020-08-26,3,KMI
1,2020-09-25,2,KMI
2,2020-10-26,3,KMI
3,2020-11-25,5,KMI
4,2020-12-28,2,KMI
0,2020-08-26,4,KMX
1,2020-09-25,2,KMX
2,2020-10-26,2,KMX
3,2020-11-25,4,KMX
4,2020-12-28,3,KMX
0,2020-08-26,3,KO
1,2020-09-25,3,KO
2,2020-10-26,3,KO
3,2020-11-25,4,KO
4,2020-12-28,4,KO
0,2020-08-26,4,KR
1,2020-09-25,2,KR
2,2020-10-26,2,KR
3,2020-11-25,3,KR
4,2020-12-28,3,KR
0,2020-08-26,4,KSU
1,2020-09-25,3,KSU
2,2020-10-26,2,KSU
3,2020-11-25,4,KSU
4,2020-12-28,4,KSU
0,2020-08-26,3,L
1,2020-09-25,2,L
2,2020-10-26,3,L
3,2020-11-25,5,L
4,2020-12-28,3,L
0,2020-08-26,5,LB
1,2020-09-25,3,LB
2,2020-10-26,4,LB
3,2020-11-25,4,LB
4,2020-12-28,2,LB
0,2020-08-26,3,LDOS
1,2020-09-25,3,LDOS
2,2020-10-26,2,LDOS
3,2020-11-25,5,LDOS
4,2020-12-28,3,LDOS
0,2020-08-26,4,LEG
1,2020-09-25,3,LEG
2,2020-10-26,3,LEG
3,2020-11-25,4,LEG
4,2020-12-28,3,LEG
0,2020-08-26,4,LEN
1,2020-09-25,3,LEN
2,2020-10-26,2,LEN
3,2020-11-25,3,LEN
4,2020-12-28,3,LEN
0,2020-08-26,2,LH
1,2020-09-25,3,LH
2,2020-10-26,4,LH
3,2020-11-25,3,LH
4,2020-12-28,4,LH
0,2020-08-26,4,LHX
1,2020-09-25,3,LHX
2,2020-10-26,2,LHX
3,2020-11-25,4,LHX
4,2020-12-28,2,LHX
0,2020-08-26,3,LIN
1,2020-09-25,2,LIN
2,2020-10-26,2,LIN
3,2020-11-25,4,LIN
4,2020-12-28,4,LIN
0,2020-08-26,4,LKQ
1,2020-09-25,2,LKQ
2,2020-10-26,4,LKQ
3,2020-11-25,4,LKQ
4,2020-12-28,3,LKQ
0,2020-08-26,2,LLY
1,2020-09-25,3,LLY
2,2020-10-26,2,LLY
3,2020-11-25,3,LLY
4,2020-12-28,4,LLY
0,2020-08-26,4,LMT
1,2020-09-25,3,LMT
2,2020-10-26,2,LMT
3,2020-11-25,3,LMT
4,2020-12-28,2,LMT
0,2020-08-26,3,LNC
1,2020-09-25,2,LNC
2,2020-10-26,4,LNC
3,2020-11-25,5,LNC
4,2020-12-28,3,LNC
0,2020-08-26,3,LNT
1,2020-09-25,2,LNT
2,2020-10-26,4,LNT
3,2020-11-25,2,LNT
4,2020-12-28,2,LNT
0,2020-08-26,4,LOW
1,2020-09-25,2,LOW
2,2020-10-26,4,LOW
3,2020-11-25,2,LOW
4,2020-12-28,4,LOW
0,2020-08-26,3,LRCX
1,2020-09-25,2,LRCX
2,2020-10-26,4,LRCX
3,2020-11-25,5,LRCX
4,2020-12-28,4,LRCX
0,2020-08-26,1,LUMN
1,2020-09-25,1,LUMN
2,2020-10-26,2,LUMN
3,2020-11-25,4,LUMN
4,2020-12-28,2,LUMN
0,2020-08-26,4,LUV
1,2020-09-25,3,LUV
2,2020-10-26,4,LUV
3,2020-11-25,4,LUV
4,2020-12-28,2,LUV
0,2020-08-26,4,LVS
1,2020-09-25,2,LVS
2,2020-10-26,3,LVS
3,2020-11-25,4,LVS
4,2020-12-28,4,LVS
0,2020-08-26,2,LW
1,2020-09-25,4,LW
2,2020-10-26,3,LW
3,2020-11-25,4,LW
4,2020-12-28,4,LW
0,2020-08-26,3,LYB
1,2020-09-25,3,LYB
2,2020-10-26,4,LYB
3,2020-11-25,4,LYB
4,2020-12-28,4,LYB
0,2020-08-26,4,LYV
1,2020-09-25,3,LYV
2,2020-10-26,3,LYV
3,2020-11-25,5,LYV
4,2020-12-28,4,LYV
0,2020-08-26,4,MA
1,2020-09-25,2,MA
2,2020-10-26,2,MA
3,2020-11-25,4,MA
4,2020-12-28,4,MA
0,2020-08-26,4,MAA
1,2020-09-25,3,MAA
2,2020-10-26,3,MAA
3,2020-11-25,4,MAA
4,2020-12-28,3,MAA
0,2020-08-26,4,MAR
1,2020-09-25,2,MAR
2,2020-10-26,3,MAR
3,2020-11-25,5,MAR
4,2020-12-28,3,MAR
0,2020-08-26,4,MAS
1,2020-09-25,2,MAS
2,2020-10-26,3,MAS
3,2020-11-25,3,MAS
4,2020-12-28,3,MAS
0,2020-08-26,4,MCD
1,2020-09-25,3,MCD
2,2020-10-26,3,MCD
3,2020-11-25,3,MCD
4,2020-12-28,3,MCD
0,2020-08-26,4,MCHP
1,2020-09-25,2,MCHP
2,2020-10-26,4,MCHP
3,2020-11-25,5,MCHP
4,2020-12-28,4,MCHP
0,2020-08-26,2,MCK
1,2020-09-25,3,MCK
2,2020-10-26,3,MCK
3,2020-11-25,4,MCK
4,2020-12-28,3,MCK
0,2020-08-26,3,MCO
1,2020-09-25,2,MCO
2,2020-10-26,2,MCO
3,2020-11-25,4,MCO
4,2020-12-28,4,MCO
0,2020-08-26,4,MDLZ
1,2020-09-25,2,MDLZ
2,2020-10-26,3,MDLZ
3,2020-11-25,4,MDLZ
4,2020-12-28,3,MDLZ
0,2020-08-26,4,MDT
1,2020-09-25,3,MDT
2,2020-10-26,3,MDT
3,2020-11-25,4,MDT
4,2020-12-28,4,MDT
0,2020-08-26,3,MET
1,2020-09-25,2,MET
2,2020-10-26,4,MET
3,2020-11-25,5,MET
4,2020-12-28,3,MET
0,2020-08-26,5,MGM
1,2020-09-25,3,MGM
2,2020-10-26,2,MGM
3,2020-11-25,5,MGM
4,2020-12-28,4,MGM
0,2020-08-26,4,MHK
1,2020-09-25,3,MHK
2,2020-10-26,4,MHK
3,2020-11-25,5,MHK
4,2020-12-28,4,MHK
0,2020-08-26,4,MKC
1,2020-09-25,2,MKC
2,2020-10-26,3,MKC
3,2020-11-25,2,MKC
4,2020-12-28,4,MKC
0,2020-08-26,2,MKTX
1,2020-09-25,2,MKTX
2,2020-10-26,5,MKTX
3,2020-11-25,2,MKTX
4,2020-12-28,4,MKTX
0,2020-08-26,2,MLM
1,2020-09-25,4,MLM
2,2020-10-26,4,MLM
3,2020-11-25,4,MLM
4,2020-12-28,4,MLM
0,2020-08-26,3,MMC
1,2020-09-25,3,MMC
2,2020-10-26,3,MMC
3,2020-11-25,4,MMC
4,2020-12-28,3,MMC
0,2020-08-26,4,MNST
1,2020-09-25,2,MNST
2,2020-10-26,3,MNST
3,2020-11-25,4,MNST
4,2020-12-28,4,MNST
0,2020-08-26,3,MO
1,2020-09-25,2,MO
2,2020-10-26,3,MO
3,2020-11-25,4,MO
4,2020-12-28,4,MO
0,2020-08-26,5,MOS
1,2020-09-25,3,MOS
2,2020-10-26,3,MOS
3,2020-11-25,5,MOS
4,2020-12-28,3,MOS
0,2020-08-26,2,MPC
1,2020-09-25,2,MPC
2,2020-10-26,3,MPC
3,2020-11-25,5,MPC
4,2020-12-28,3,MPC
0,2020-08-26,4,MRK
1,2020-09-25,3,MRK
2,2020-10-26,2,MRK
3,2020-11-25,3,MRK
4,2020-12-28,3,MRK
0,2020-08-26,2,MRO
1,2020-09-25,1,MRO
2,2020-10-26,3,MRO
3,2020-11-25,5,MRO
4,2020-12-28,4,MRO
0,2020-08-26,3,MS
1,2020-09-25,2,MS
2,2020-10-26,4,MS
3,2020-11-25,5,MS
4,2020-12-28,4,MS
0,2020-08-26,2,MSCI
1,2020-09-25,2,MSCI
2,2020-10-26,3,MSCI
3,2020-11-25,4,MSCI
4,2020-12-28,4,MSCI
0,2020-08-26,4,MSFT
1,2020-09-25,2,MSFT
2,2020-10-26,3,MSFT
3,2020-11-25,3,MSFT
4,2020-12-28,4,MSFT
0,2020-08-26,4,MSI
1,2020-09-25,3,MSI
2,2020-10-26,4,MSI
3,2020-11-25,3,MSI
4,2020-12-28,3,MSI
0,2020-08-26,3,MTB
1,2020-09-25,2,MTB
2,2020-10-26,4,MTB
3,2020-11-25,4,MTB
4,2020-12-28,4,MTB
0,2020-08-26,4,MTD
1,2020-09-25,3,MTD
2,2020-10-26,4,MTD
3,2020-11-25,4,MTD
4,2020-12-28,3,MTD
0,2020-08-26,2,MU
1,2020-09-25,4,MU
2,2020-10-26,4,MU
3,2020-11-25,5,MU
4,2020-12-28,4,MU
0,2020-08-26,3,MXIM
1,2020-09-25,2,MXIM
2,2020-10-26,4,MXIM
3,2020-11-25,4,MXIM
4,2020-12-28,4,MXIM
0,2020-08-26,4,NCLH
1,2020-09-25,4,NCLH
2,2020-10-26,3,NCLH
3,2020-11-25,5,NCLH
4,2020-12-28,4,NCLH
0,2020-08-26,3,NDAQ
1,2020-09-25,2,NDAQ
2,2020-10-26,3,NDAQ
3,2020-11-25,3,NDAQ
4,2020-12-28,4,NDAQ
0,2020-08-26,3,NEE
1,2020-09-25,3,NEE
2,2020-10-26,4,NEE
3,2020-11-25,3,NEE
4,2020-12-28,3,NEE
0,2020-08-26,2,NEM
1,2020-09-25,2,NEM
2,2020-10-26,3,NEM
3,2020-11-25,2,NEM
4,2020-12-28,4,NEM
0,2020-08-26,4,NFLX
1,2020-09-25,2,NFLX
2,2020-10-26,3,NFLX
3,2020-11-25,3,NFLX
4,2020-12-28,4,NFLX
0,2020-08-26,2,NI
1,2020-09-25,3,NI
2,2020-10-26,4,NI
3,2020-11-25,4,NI
4,2020-12-28,2,NI
0,2020-08-26,4,NKE
1,2020-09-25,4,NKE
2,2020-10-26,4,NKE
3,2020-11-25,4,NKE
4,2020-12-28,4,NKE
0,2020-08-26,4,NLOK
1,2020-09-25,2,NLOK
2,2020-10-26,3,NLOK
3,2020-11-25,2,NLOK
4,2020-12-28,4,NLOK
0,2020-08-26,3,NLSN
1,2020-09-25,2,NLSN
2,2020-10-26,4,NLSN
3,2020-11-25,5,NLSN
4,2020-12-28,5,NLSN
0,2020-08-26,4,NOC
1,2020-09-25,2,NOC
2,2020-10-26,2,NOC
3,2020-11-25,3,NOC
4,2020-12-28,3,NOC
0,2020-08-26,2,NOV
1,2020-09-25,1,NOV
2,2020-10-26,2,NOV
3,2020-11-25,5,NOV
4,2020-12-28,3,NOV
0,2020-08-26,4,NOW
1,2020-09-25,3,NOW
2,2020-10-26,4,NOW
3,2020-11-25,4,NOW
4,2020-12-28,4,NOW
0,2020-08-26,3,NRG
1,2020-09-25,2,NRG
2,2020-10-26,4,NRG
3,2020-11-25,2,NRG
4,2020-12-28,4,NRG
0,2020-08-26,4,NSC
1,2020-09-25,3,NSC
2,2020-10-26,2,NSC
